"Date","Price","Open","High","Low","Vol.","Change %"
"17/12/2020","1.4967","1.4817","1.5021","1.4806","52.54K","1.08%"
"16/12/2020","1.4807","1.4646","1.4840","1.4561","44.21K","0.87%"
"15/12/2020","1.4680","1.4599","1.4726","1.4468","37.67K","0.71%"
"14/12/2020","1.4576","1.4424","1.4653","1.4231","30.78K","1.11%"
"11/12/2020","1.4416","1.4420","1.4541","1.4295","34.84K","0.04%"
"10/12/2020","1.4410","1.4080","1.4671","1.4059","34.82K","2.53%"
"09/12/2020","1.4054","1.4130","1.4307","1.3989","36.05K","-0.58%"
"08/12/2020","1.4136","1.4037","1.4158","1.3931","24.29K","0.50%"
"07/12/2020","1.4065","1.4077","1.4227","1.3896","24.47K","-0.27%"
"04/12/2020","1.4103","1.3999","1.4268","1.3958","24.44K","0.74%"
"03/12/2020","1.3999","1.3721","1.4048","1.3633","33.63K","1.79%"
"02/12/2020","1.3753","1.3504","1.3878","1.3429","23.91K","1.39%"
"01/12/2020","1.3564","1.3766","1.3953","1.3484","35.77K","-1.09%"
"30/11/2020","1.3714","1.3786","1.3857","1.3560","52.02K","-0.97%"
"27/11/2020","1.3849","1.3965","1.4015","1.3594","37.53K","1.17%"
"26/11/2020","1.3689","1.3912","1.4000","1.3617","","-1.46%"
"25/11/2020","1.3892","1.3658","1.4004","1.3604","83.74K","1.83%"
"24/11/2020","1.3642","1.3120","1.3796","1.3100","73.57K","3.68%"
"23/11/2020","1.3158","1.2937","1.3173","1.2874","62.38K","1.90%"
"20/11/2020","1.2913","1.2812","1.2940","1.2700","64.41K","1.15%"
"19/11/2020","1.2766","1.2696","1.2852","1.2618","72.89K","0.43%"
"18/11/2020","1.2711","1.2517","1.2831","1.2444","72.76K","1.78%"
"17/11/2020","1.2489","1.2433","1.2543","1.2215","49.74K","0.69%"
"16/11/2020","1.2404","1.2182","1.2620","1.2154","31.74K","2.01%"
"13/11/2020","1.2159","1.2393","1.2400","1.2134","44.75K","-2.38%"
"12/11/2020","1.2455","1.2587","1.2700","1.2373","43.04K","-0.98%"
"11/11/2020","1.2578","1.2733","1.3084","1.2527","41.77K","-0.44%"
"10/11/2020","1.2633","1.2211","1.2736","1.2079","52.75K","2.95%"
"09/11/2020","1.2271","1.1579","1.2557","1.1514","64.57K","6.58%"
"06/11/2020","1.1513","1.1741","1.1745","1.1448","34.86K","-2.35%"
"05/11/2020","1.1790","1.1767","1.1835","1.1586","38.27K","-0.25%"
"04/11/2020","1.1820","1.1545","1.1844","1.1229","39.11K","3.89%"
"03/11/2020","1.1377","1.1259","1.1526","1.1105","41.93K","1.38%"
"02/11/2020","1.1222","1.0755","1.1302","1.0356","42.92K","3.34%"
"30/10/2020","1.0859","1.0854","1.0970","1.0653","81.60K","-0.09%"
"29/10/2020","1.0869","1.1114","1.1296","1.0525","103.74K","-2.37%"
"28/10/2020","1.1133","1.1490","1.1490","1.1025","98.01K","-3.94%"
"27/10/2020","1.1590","1.1279","1.1635","1.1279","87.70K","2.76%"
"26/10/2020","1.1279","1.1536","1.1557","1.1182","64.68K","-2.63%"
"23/10/2020","1.1584","1.1665","1.1772","1.1503","59.97K","-0.88%"
"22/10/2020","1.1687","1.1447","1.1768","1.1402","58.74K","1.84%"
"21/10/2020","1.1476","1.1716","1.1790","1.1357","91.81K","-2.76%"
"20/10/2020","1.1802","1.1640","1.1855","1.1530","69.28K","1.17%"
"19/10/2020","1.1665","1.1798","1.1888","1.1597","46.40K","-1.54%"
"16/10/2020","1.1848","1.1910","1.1953","1.1692","40.36K","-0.78%"
"15/10/2020","1.1941","1.1989","1.2041","1.1555","45.56K","-0.40%"
"14/10/2020","1.1989","1.1755","1.2011","1.1628","37.58K","1.89%"
"13/10/2020","1.1767","1.1712","1.1878","1.1663","42.33K","0.92%"
"12/10/2020","1.1660","1.1971","1.1977","1.1576","37.70K","-2.99%"
"09/10/2020","1.2019","1.1985","1.2144","1.1920","52.18K","-0.11%"
"08/10/2020","1.2032","1.1748","1.2050","1.1696","35.70K","2.64%"
